sample_name	sample_name_original	barcode_prefix	sample_type	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material
13114.song.53.s011	Song53.24572	song.53.s011	stool	EMP_Feces_song_53_s011_a03_M_174	174	note applicable	UCSD	7G1_8_62_song-53-s011-a04.mzML	7G1_8_62_song-53-s011-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/05/2015 0:00	0	not applicable	Lappet faced vulture fecal sample	283	Song	53	Captive bird feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Georgia:Atlanta Zoo	ATL.Lappet.faced.vulture	not applicable	33.73	-84.37	EMP500 Song Study 53	gut metagenome	12845930	11640360	15806623	319	0.282363879	61.18355935	17	0.298034013	6.860699011	676	0.440457292	119.9984682	676	0.440457292	119.9984682	48	0.473400494	13.27516965	Train	Test	Train	Test
13114.song.52.s006	Song52.25039	song.52.s006	stool	EMP_Feces_song_52_s006_a03_M_154	154	note applicable	UCSD	7G10_8_70_song-52-s006-a04.mzML	7G10_8_70_song-52-s006-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/20/15 0:00	0	not applicable	spider tortoise  fecal sample	16	Song	52	Captive herp feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.spider.tortoise.	not applicable	38.93	-77.05	EMP500 Song Study 52	gut metagenome	9904615	377736	1644516	345	4.435615146	66.149226	115	4.397912389	24.97055106	627	4.86998821	120.5084197	626	4.869948236	120.4869392	226	4.846451756	49.76081473	Train	Test	Train	Test
13114.lcms.blank.solvent.61	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_20190210214914.mzML	Resusp_solvent_20190210214914	not applicable	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.song.51.s013	Song51.24754	song.51.s013	stool	EMP_Feces_song_51_s013_a03_M_141	141	note applicable	UCSD	7G12_8_71_song-51-s013-a04.mzML	7G12_8_71_song-51-s013-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/20/15 0:00	0	not applicable	prevosts squirrel fecal sample	16	Song	51	Captive terrestrial mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.prevosts.squirrel	not applicable	38.93	-77.05	EMP500 Song Study 51	gut metagenome	7878000	1008829	2969006	443	4.922732682	81.88547544	160	4.964697746	31.70496641	909	5.545999232	155.0984658	908	5.54596981	154.2618684	319	5.505628195	61.59791854	Test	Test	Test	Train
13114.song.51.s014	Song51.24758	song.51.s014	stool	EMP_Feces_song_51_s014_a03_M_142	142	note applicable	UCSD	7G2_8_63_song-51-s014-a04.mzML	7G2_8_63_song-51-s014-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/23/15 0:00	0	not applicable	lesser tenrec fecal sample	16	Song	51	Captive terrestrial mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.lesser.tenrec	not applicable	38.93	-77.05	EMP500 Song Study 51	gut metagenome	9917866	1547069	8605980	247	2.824852451	44.76323478	30	2.818956865	5.650035349	556	3.582224515	89.81511433	554	3.582190086	89.80911908	122	3.531403963	17.27351485	Train	Test	Train	Train
13114.lcms.blank.solvent.60	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_20190211083210.mzML	Resusp_solvent_20190211083210	not applicable	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.song.51.s003	Song51.24081	song.51.s003	stool	EMP_Feces_song_51_s003_a03_M_131	131	note applicable	UCSD	7G4_8_64_song-51-s003-a04.mzML	7G4_8_64_song-51-s003-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/07/2015 0:00	0	not applicable	Eastern black rhinoceros fecal sample	283	Song	51	Captive terrestrial mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Georgia:Atlanta Zoo	ATL.Eastern.black.rhinoceros	not applicable	33.73	-84.37	EMP500 Song Study 51	gut metagenome	11282720	171701	205056	308	3.660404783	68.0259137	171	3.611833826	41.20785808	873	5.428837936	164.0540296	873	5.428837936	164.0540296	420	5.359841143	91.77337105	Test	Test	Test	Train
13114.thomas.19.s048	Thomas19.PB.H1tis	thomas.19.s048	algae	EMP_Feces_thomas_19_s048_a03_M_198	198	note applicable	UCSD	7G5_8_65_thomas-19-s048-a02.mzML	7G5_8_65_thomas-19-s048-a02	7	Swabs_201901_UCSD	Sample	Swabs	1/14/16 0:00	1.5	not applicable	Healthy P. comosa from Palm Beach: 11 tubes: PB_H1 is a cotton swab of surface, PB_H1_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	kelp forest	organic material	host-associated	host-associated	Australia:New South Wales:Sydney:Palm Beach	PB_H1	not applicable	-33.5995	151.3282	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Test
13114.thomas.19.s033	Thomas19.NP.DI.4tis	thomas.19.s033	algae	EMP_Feces_thomas_19_s033_a03_M_208	208	note applicable	UCSD	7G6_8_66_thomas-19-s033-a02.mzML	7G6_8_66_thomas-19-s033-a02	7	Swabs_201901_UCSD	Sample	Swabs	01/12/2016 0:00	1.5	not applicable	D. marginatus from Nielsen Park: 11 tubes: NP_DI_4 is a cotton swab of surface, NP_DI_4_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	marine benthic feature	organic material	host-associated	host-associated	Australia:New South Wales:Sydney:Sydney Eastern Suburbs	NP_DI_4	not applicable	-33.850022	151.267489	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.thomas.19.s039	Thomas19.NP.PA.1tis	thomas.19.s039	algae	EMP_Feces_thomas_19_s039_a03_M_207	207	note applicable	UCSD	7G7_8_67_thomas-19-s039-a02.mzML	7G7_8_67_thomas-19-s039-a02	7	Swabs_201901_UCSD	Sample	Swabs	01/12/2016 0:00	1.5	not applicable	P. crassa from Nielsen Park: 11 tubes: NP_PA_1 is a cotton swab of surface, NP_PA_1_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	marine benthic feature	organic material	host-associated	host-associated	Australia:New South Wales:Sydney:Sydney Eastern Suburbs	NP_PA_1	not applicable	-33.850022	151.267489	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Test
13114.jensen.43.s007	Jensen43.MCO300.25.2	jensen.43.s007	sediment	not applicable	not applicable	not applicable	not applicable	7G8_8_68_jensen-43-s007-a03.mzML	7G8_8_68_jensen-43-s007-a03	7	Swabs_201901_UCSD	Sample	Swabs	07/08/2012	300	not applicable	Jensen43.sediment.36	0	Jensen	43	Ocean sediments	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	mud	marine sediment	sediment	sediment	Pacific Ocean:Northeast Pacific Ocean:San Diego coastal	MCO300-25.2	not applicable	32.81	-117.4681	Jensen sediments from global ocean	marine sediment metagenome	8660370	7953	8103	251	3.562850267	67.32115142	208	3.536825924	58.38141319	540	5.021983091	137.8243803	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Train	Train	Train
13114.song.52.s011	Song52.25079	song.52.s011	stool	EMP_Feces_song_52_s011_a03_M_159	159	note applicable	UCSD	7G9_8_69_song-52-s011-a04.mzML	7G9_8_69_song-52-s011-a04	7	Swabs_201901_UCSD	Sample	Swabs	11/05/2015 0:00	0	not applicable	cuban crocodiles fecal sample	16	Song	52	Captive herp feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.cuban.crocodiles	not applicable	38.93	-77.05	EMP500 Song Study 52	gut metagenome	11512609	1590568	3897516	976	1.754182482	128.5215246	113	1.585238339	23.61994515	1504	2.418609115	195.1043549	1503	2.418575089	195.0180383	244	2.36616317	39.77945713	Test	Test	Test	Test
13114.song.51.s005	Song51.24661	song.51.s005	stool	EMP_Feces_song_51_s005_a03_M_133	133	note applicable	UCSD	7H1_8_72_song-51-s005-a04.mzML	7H1_8_72_song-51-s005-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/20/15 0:00	0	not applicable	southern tamandua fecal sample	16	Song	51	Captive terrestrial mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.southern.tamandua	not applicable	38.93	-77.05	EMP500 Song Study 51	gut metagenome	16701488	3663903	4032979	450	3.560343658	83.38725118	119	3.473633955	26.87488551	1062	4.41206445	171.1788268	1062	4.41206445	171.1788268	284	4.413920947	54.02133725	Test	Test	Test	Train
13114.song.51.s004	Song51.24592	song.51.s004	stool	EMP_Feces_song_51_s004_a03_M_132	132	note applicable	UCSD	7H10_8_80_song-51-s004-a04.mzML	7H10_8_80_song-51-s004-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/08/2015 0:00	0	not applicable	Ringtailed lemur fecal sample	283	Song	51	Captive terrestrial mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Georgia:Atlanta Zoo	ATL.Ringtailed.lemur	not applicable	33.73	-84.37	EMP500 Song Study 51	gut metagenome	9256687	506966	2041936	397	4.600484645	76.36502509	149	4.561673794	34.04870951	827	5.505802083	148.1554119	826	5.505772716	147.8561766	338	5.417100097	68.13711786	Train	Test	Train	Train
13114.song.52.s005	Song52.25032	song.52.s005	stool	EMP_Feces_song_52_s005_a03_M_153	153	note applicable	UCSD	7H11_8_81_song-52-s005-a04.mzML	7H11_8_81_song-52-s005-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/20/15 0:00	0	not applicable	spinytailed monitor, or northern blue tongued skink fecal sample	16	Song	52	Captive herp feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.spinytailed.monitor	not applicable	38.93	-77.05	EMP500 Song Study 52	gut metagenome	10699551	436528	1016381	423	4.046218613	81.71506804	110	3.909356088	25.98029936	722	4.474613617	137.1832113	721	4.474577643	136.9482187	223	4.436580299	49.71691325	Test	Test	Test	Test
13114.song.75.s004	Song75.myakka	song.75.s004	stool	EMP_Feces_song_75_s004_a03_M_255	255	note applicable	UCSD	7H12_9_1_song-75-s004-a04.mzML	7H12_9_1_song-75-s004-a04	7	Swabs_201901_UCSD	Sample	Swabs	08/11/2014 0:00	not applicable	not applicable	Florida manatee fecal sample	1.6	Song	75	Captive aquatic mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Florida:South Florida Museum	SFM.myakka	not applicable	27.5	-82.57	EMP500 Song Study 75	gut metagenome	13703711	988230	8234084	433	4.616818306	78.62932521	154	4.592006418	33.17715957	1000	5.508294667	172.0753722	1000	5.508294667	172.0753722	361	5.453288214	73.48663366	Train	Test	Train	Test
13114.thomas.19.s030	Thomas19.C.S1tis	thomas.19.s030	algae	EMP_Feces_thomas_19_s030_a03_M_055	55	note applicable	UCSD	7H2_8_73_thomas-19-s030-a02.mzML	7H2_8_73_thomas-19-s030-a02	7	Swabs_201901_UCSD	Sample	Swabs	1/14/16 0:00	1.5	not applicable	Stipe-rot infected P. comosa from Cronulla: 11 tubes: C_S1 is a cotton swab of surface, C_S1_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	kelp forest	organic material	host-associated	host-associated	Australia:New South Wales:Sydney:Sutherland Shire	C_S1	not applicable	-34.0565	151.1567	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.thomas.19.s040	Thomas19.NP.PA.2tis	thomas.19.s040	algae	EMP_Feces_thomas_19_s040_a03_M_206	206	note applicable	UCSD	7H3_8_74_thomas-19-s040-a02.mzML	7H3_8_74_thomas-19-s040-a02	7	Swabs_201901_UCSD	Sample	Swabs	01/12/2016 0:00	1.5	not applicable	P. crassa from Nielsen Park: 11 tubes: NP_PA_2 is a cotton swab of surface, NP_PA_2_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	marine benthic feature	organic material	host-associated	host-associated	Australia:New South Wales:Sydney:Sydney Eastern Suburbs	NP_PA_2	not applicable	-33.850022	151.267489	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Test
13114.thomas.19.s031	Thomas19.DH.H1tis	thomas.19.s031	algae	EMP_Feces_thomas_19_s031_a03_M_050	50	note applicable	UCSD	7H4_8_75_thomas-19-s031-a02.mzML	7H4_8_75_thomas-19-s031-a02	7	Swabs_201901_UCSD	Sample	Swabs	1/13/16 0:00	1.5	not applicable	Healthy P. comosa from Diamond Head: 11 tubes: DH_H1 is a cotton swab of surface, DH_H1_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	kelp forest	organic material	host-associated	host-associated	Australia:New South Wales:Port Macquarie-Hastings Council	DH_H1	not applicable	-31.717	152.7979	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.song.52.s015	Song52.25162	song.52.s015	stool	EMP_Feces_song_52_s015_a03_M_163	163	note applicable	UCSD	7H5_8_76_song-52-s015-a04.mzML	7H5_8_76_song-52-s015-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/07/2015 0:00	0	not applicable	Misson goldeneyed tree frog fecal sample	283	Song	52	Captive herp feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Georgia:Atlanta Zoo	ATL.Misson.goldeneyed.tree.frog	not applicable	33.73	-84.37	EMP500 Song Study 52	gut metagenome	4591062	425344	1103285	444	3.010565605	71.15900619	120	2.867376475	23.20226362	757	3.742450125	106.8053278	756	3.742284651	106.8034042	223	3.728200445	36.75515588	Test	Test	Test	Test
13114.lcms.blank.solvent.58	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_20190211093621.mzML	Resusp_solvent_20190211093621	not applicable	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.thomas.19.s032	Thomas19.DH.S1tis	thomas.19.s032	algae	EMP_Feces_thomas_19_s032_a03_M_051	51	note applicable	UCSD	7H7_8_77_thomas-19-s032-a02.mzML	7H7_8_77_thomas-19-s032-a02	7	Swabs_201901_UCSD	Sample	Swabs	1/13/16 0:00	1.5	not applicable	Stipe-rot infected P. comosa from Diamond Head 11 tubes: DH_S1 is a cotton swab of surface, DH_S1_A-J are 10 replicate tissue samples	0	Thomas	19	Australian algae	EMP sample	Host-associated	Plant	Plant surface	marine benthic biome	kelp forest	organic material	host-associated	host-associated	Australia:New South Wales:Port Macquarie-Hastings Council	DH_S1	not applicable	-31.717	152.7979	EMP algae microbiome deep sequencing	algae metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.song.52.s014	Song52.25153	song.52.s014	stool	EMP_Feces_song_52_s014_a03_M_162	162	note applicable	UCSD	7H8_8_78_song-52-s014-a04.mzML	7H8_8_78_song-52-s014-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/07/2015 0:00	0	not applicable	climbing toad fecal sample	283	Song	52	Captive herp feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Georgia:Atlanta Zoo	ATL.climbing.toad	not applicable	33.73	-84.37	EMP500 Song Study 52	gut metagenome	11619418	1135892	2942170	681	4.160074226	93.15480612	130	4.167793087	21.95159401	1083	4.688646017	149.3404323	1083	4.688646017	149.3404323	254	4.642923112	38.76143569	Train	Test	Train	Test
13114.song.52.s004	Song52.24663	song.52.s004	stool	EMP_Feces_song_52_s004_a03_M_152	152	note applicable	UCSD	7H9_8_79_song-52-s004-a04.mzML	7H9_8_79_song-52-s004-a04	7	Swabs_201901_UCSD	Sample	Swabs	10/23/15 0:00	0	not applicable	radiated tortoise fecal sample	16	Song	52	Captive herp feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	United States of America:State of Maryland:National Zoo	Natl.radiated.tortoise	not applicable	38.93	-77.05	EMP500 Song Study 52	gut metagenome	3528590	19746	28861	262	4.956408911	59.85740912	197	4.903348638	46.56148936	482	5.542817113	109.9754611	481	5.541888316	109.9716594	397	5.516727243	92.4504584	Train	Test	Train	Test
13114.macrae.crerar.3.s010	MacRae3.soil.10	macrae-crerar.3.s010	soil	EMP_McR3_10_001_GC	not applicable	note applicable	PNNL	8A1_MacRae3-soil-10.mzML	8A1_MacRae3-soil-10	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 13:42	0.05	not applicable	Northern Mongolian soil 467	1735	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B11.CON.N.W.V.2012b.XX	not applicable	51.01.524	100.45.836	NSF PIRE Mongolia Project	soil metagenome	3024802	13081	51882	593	6.720317128	88.02505325	396	6.625680941	65.65121766	701	6.878355315	105.2243825	701	6.878355315	105.2243825	647	6.870357777	98.52544317	Test	Train	Train	Train
13114.macrae.crerar.3.s004	MacRae3.soil.4	macrae-crerar.3.s004	soil	EMP_McR3_4_009_GC	not applicable	note applicable	PNNL	8A10_MacRae3-soil-4.mzML	8A10_MacRae3-soil-4	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 14:59	0.05	not applicable	Northern Mongolian soil 457	1741	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B09.CON.N.N.V.2012b.XX	not applicable	51.01.658	100.45.643	NSF PIRE Mongolia Project	soil metagenome	13015147	71272	172519	864	6.372320455	116.3047133	359	6.174996085	56.69198476	1107	6.478676577	157.9353293	1107	6.478676577	157.9353293	620	6.383254736	96.28633051	Train	Train	Train	Train
13114.macrae.crerar.3.s009	MacRae3.soil.9	macrae-crerar.3.s009	soil	EMP_McR3_9_010_GC	not applicable	note applicable	PNNL	8A11_MacRae3-soil-9.mzML	8A11_MacRae3-soil-9	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 13:59	0.05	not applicable	Northern Mongolian soil 466	1735	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B11.OTC.N.W.V.2012b.XX	not applicable	51.01.524	100.45.836	NSF PIRE Mongolia Project	soil metagenome	63870911	769907	1267240	1132	6.733318737	147.3043466	385	6.611013098	56.56594095	1586	6.840345901	215.3512883	1586	6.840345901	215.3512883	660	6.75362206	92.25219019	Test	Train	Train	Train
13114.macrae.crerar.3.s011	MacRae3.soil.11	macrae-crerar.3.s011	soil	EMP_McR3_11_011_GC	not applicable	note applicable	PNNL	8A12_MacRae3-soil-11.mzML	8A12_MacRae3-soil-11	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 14:05	0.05	not applicable	Northern Mongolian soil 468	1735	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B11.OTC.N.N.V.2012b.XX	not applicable	51.01.524	100.45.836	NSF PIRE Mongolia Project	soil metagenome	10865427	116982	231311	773	6.330453937	104.8244934	347	6.256185775	51.41180802	954	6.445483528	130.8733637	954	6.445483528	130.8733637	573	6.403179644	82.81935513	Train	Train	Train	Train
13114.macrae.crerar.3.s006	MacRae3.soil.6	macrae-crerar.3.s006	soil	EMP_McR3_6_002_GC	not applicable	note applicable	PNNL	8A2_MacRae3-soil-6.mzML	8A2_MacRae3-soil-6	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 14:20	0.05	not applicable	Northern Mongolian soil 461	1747	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B10.CON.N.W.V.2012b.XX	not applicable	51.01.550	100.45.810	NSF PIRE Mongolia Project	soil metagenome	6134809	34122	102913	800	6.554162311	108.4294023	371	6.370509944	58.79557226	992	6.687894159	140.4184057	992	6.687894159	140.4184057	666	6.633885749	100.8127139	Train	Train	Train	Train
13114.macrae.crerar.3.s008	MacRae3.soil.8	macrae-crerar.3.s008	soil	EMP_McR3_8_003_GC	not applicable	note applicable	PNNL	8A3_MacRae3-soil-8.mzML	8A3_MacRae3-soil-8	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 14:32	0.05	not applicable	Northern Mongolian soil 463	1747	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B10.CON.N.N.V.2012b.XX	not applicable	51.01.550	100.45.810	NSF PIRE Mongolia Project	soil metagenome	2601729	15466	52178	581	6.537395855	85.39408258	338	6.385859009	52.99861777	677	6.661255655	102.1410101	676	6.66069321	101.6087521	587	6.645216675	89.49288417	Train	Train	Train	Train
13114.macrae.crerar.3.s012	MacRae3.soil.12	macrae-crerar.3.s012	soil	EMP_McR3_12_004_GC	not applicable	note applicable	PNNL	8A4_MacRae3-soil-12.mzML	8A4_MacRae3-soil-12	8	Bulk_Seed_PNNL	Sample	Bulk	07/09/2012 13:34	0.05	not applicable	Northern Mongolian soil 469	1735	MacRae-Crerar	3	Mongolia soils (NSF PIRE)	EMP sample	Free-living	Non-saline	Soil (non-saline)	montane grasslands and shrubland biome	steppe soil	soil	soil	soil	Mongolia	B11.CON.N.N.V.2012b.XX	not applicable	51.01.524	100.45.836	NSF PIRE Mongolia Project	soil metagenome	11566692	59461	180184	722	6.718601669	97.42305705	355	6.587329902	56.75628137	868	6.812208668	121.2258876	868	6.812208668	121.2258876	580	6.764255634	84.80193306	Test	Train	Train	Train
13114.lcms.blank.solvent.66	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_20190211101934.mzML	Resusp_solvent_20190211101934	not applicable	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
