rowid,mibig_accession,organism_name,ncbi_tax_id,smiles,inchikey,no_stereo_inchikey,compound_name,molecular_formula
503,BGC0000372,Aspergillus fumigatus Af293,330879,C=C(/C=C/C1=CC=CC2=C1NC=C2CC(N3O[Fe](ON4C(CC5=CNC6=C5C=CC=C6/C=C/C(C)=C)=C(N=C(C4=O)C)OC)ON7C(CC8=CNC9=C8C=CC=C9/C=C/C(C)=C)=C(N=C(C7=O)C)OC)=C(N=C(C3=O)C)OC)C,QRPYQNLMWIGUCP-VMBSUALFSA-N,QRPYQNLMWIGUCP,hexadehydroastechrome,C60H60FeN9O9
504,BGC0000372,Aspergillus fumigatus Af293,330879,C[C@@H]1NC(=O)C(CC2=CNC3=C2C=CC=C3CC=C(C)C)NC1=O,IHJVJWQYVQWURS-HKALDPMFSA-N,IHJVJWQYVQWURS,terezine-D,C19H23N3O2
505,BGC0000372,Aspergillus fumigatus Af293,330879,C/C(C)=C\CC1=CC=CC2=C1NC=C2CC(N3O[Fe](ON4C(CC5=CNC6=C5C=CC=C6C/C=C(C)\C)=C(N=C(C4=O)C)OC)ON7C(CC8=CNC9=C8C=CC=C9C/C=C(C)\C)=C(N=C(C7=O)C)OC)=C(N=C(C3=O)C)OC,OEPBYEBLOCELCQ-UHFFFAOYSA-N,OEPBYEBLOCELCQ,astechrome,C60H66FeN9O9
506,BGC0001001,Lyngbya majuscula,158786,CO\C(CCNC(=O)CC\C=C\C(C)CC\C(CCCC#CBr)=C\Cl)=C\C(=O)N1C(C)C=CC1=O,NAIKIJSSBJHCBL-IPUGVWFUSA-N,NAIKIJSSBJHCBL,jamaicamide A,C27H36BrClN2O4
507,BGC0001001,Lyngbya majuscula,158786,CO\C(CCNC(=O)CC\C=C\C(C)CC\C(CCCC#C)=C\Cl)=C\C(=O)N1C(C)C=CC1=O,KZVHAGNFWJIOMX-GDKFLGFMSA-N,KZVHAGNFWJIOMX,jamaicamide B,C27H37ClN2O4
508,BGC0001001,Lyngbya majuscula,158786,CO\C(CCNC(=O)CC\C=C\C(C)CC\C(CCCC=C)=C\Cl)=C\C(=O)N1C(C)C=CC1=O,PRVBXXHHHXSICY-GDKFLGFMSA-N,PRVBXXHHHXSICY,jamaicamide C,C27H39ClN2O4
509,BGC0000067,Streptomyces hygroscopicus subsp. duamyceticus,285527,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,QTQAWLPCGQOSGP-KSRBKZBZSA-N,QTQAWLPCGQOSGP,geldanamycin,C29H40N2O9
510,BGC0000982,Cystobacter fuscus,43,CO[C@@H](\C=C\C1=CSC(=N1)C1=CSC(=N1)C(C)C)[C@@H](C)C(\OC)=C/C(=O)OC,LRTJMINIVSPVMX-ZVJWTWILSA-N,LRTJMINIVSPVMX,cystothiazole A,C20H26N2O4S2
511,BGC0000416,Xenorhabdus nematophila ATCC 19061,406817, CC(C)C[C@H](NC)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)NCCc1ccccc1,CKNBFSIURUOKMN-LJWNLINESA-N,CKNBFSIURUOKMN,rhabdopeptide 1,C32H55N5O4
512,BGC0000416,Xenorhabdus nematophila ATCC 19061,406817,CN[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1,PTBHHTLZYZRKPA-CXDXLJMYSA-N,PTBHHTLZYZRKPA,rhabdopeptide 2,C33H57N5O4
513,BGC0000416,Xenorhabdus nematophila ATCC 19061,406817,CN[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1,OESQZFRXSGTAAF-YKNMHBIISA-N,OESQZFRXSGTAAF,rhabdopeptide 3,C38H66N6O5
514,BGC0000416,Xenorhabdus nematophila ATCC 19061,406817,CN[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1,HBHJZHOBEKLHMW-SLXQPGMDSA-N,HBHJZHOBEKLHMW,rhabdopeptide 4,C39H68N6O5
515,BGC0000087,Streptomyces lasaliensis,324833,CCC(C1C(CC(O1)(CC)C2CCC(C(O2)C)(CC)O)C)C(=O)C(C)C(C(C)CCC3=C(C(=C(C=C3)C)O)C(=O)[O-])O.[Na+],RDHDUYAKDYQPEW-UHFFFAOYSA-M,RDHDUYAKDYQPEW,lasalocid,C34H53NaO8
516,BGC0000201,Streptomyces aureofaciens,1894,OC1=CC=CC2=C1C(C([C@]3(O[C@H](C)CC([C@H]3OC4CCC(N(C)C)C(C)O4)=O)O[C@@](C5)([H])[C@]6([H])OC5=O)=C6C2=O)=O,DIESPMSGQPRWLG-VLKAYIDRSA-N,DIESPMSGQPRWLG,auricin,C28H31NO10
517,BGC0001053,Archangium disciforme,38,CCC(C)C(NC(=O)C1CCCCN1C)C(=O)N(COC(=O)CC(C)C)C(CC(OC(C)=O)C1=NC(=CS1)C(=O)NC(CC(C)C(O)=O)CC1=CC=C(O)C=C1)C(C)C,IBEDDHUHZBDXGB-UHFFFAOYSA-N,IBEDDHUHZBDXGB,tubulysin A,C43H65N5O10S
518,BGC0001836,Gynuella sunshinyii YC6258,1445510,C[C@H]1[C@@]2(O)O[C@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C([C@@]3(O)[C@H](C)CC[C@@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C2O)=O)O)=O)O3)O)=O)O)=O)CC1,OHYKIDCHGZQVCM-ZMXWBCPCSA-N,OHYKIDCHGZQVCM,tartrolon D,C44H68O14
519,BGC0001836,Gynuella sunshinyii YC6258,1445510,C[C@H]1[C@@]2(O)O[C@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C([C@@]3(O)[C@H](C)CC[C@@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C2O)=O)O)O)O3)O)=O)O)=O)CC1,QZOYYXRCNOZKAN-NSHSNTAOSA-N,QZOYYXRCNOZKAN,tartrolon F,C44H70O14
520,BGC0001836,Gynuella sunshinyii YC6258,1445510,C[C@H]1[C@@]2(O)O[C@H](CC(O)C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C([C@@]3(O)[C@H](C)CC[C@@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C2O)=O)O)O)O3)O)=O)O)CC1,FXGOCVGCVFBLCI-JTEBNOBLSA-N,FXGOCVGCVFBLCI,tartrolon G,C44H72O14
521,BGC0000293,Aspergillus fischeri NRRL 181,331117,CC(=O)N1[C@H]2[C@](C[C@H]3N2C(=O)C4=CC=CC=C4NC3=O)(C5=CC=CC=C51)C(C)(C)C=C,TXNJQKDZOVFCAQ-XRODADMRSA-N,TXNJQKDZOVFCAQ,acetylaszonalenin,C25H25N3O3
522,BGC0001406,Streptomyces canus,58343,C[C@@H]1[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N2CC[C@@H]([C@H]2C(=O)N/C(=C/C3=CNC4=CC=CC=C43)/C(=O)N[C@H](C(=O)N[C@H](C(=O)N5CC[C@H]([C@H]5C(=O)O1)O)[C@H](C(C)C)O)[C@H](C)C6=CNC7=CC=CC=C76)O)C)[C@H](C)O)NC(=O)[C@H](CO)NC(=O)C[C@@H](C(=O)O)N,FJEKCPBQVANMTA-BYEAFURWSA-N,FJEKCPBQVANMTA,telomycin,C59H77N13O19
523,BGC0001790,Pseudomonas acidophila,1912599,C[C@H](C(=O)N[C@]1(CN(C1=O)S(=O)(=O)O)OC)NC(=O)CC[C@H](C(=O)O)N,MOBOUQJWGBVNCR-NQYJQULFSA-N,MOBOUQJWGBVNCR,sulfazecin,C12H20N4O9S
524,BGC0001577,Prochloron didemni,1216,CC[C@H](C)[C@H]1C(=O)N[C@H]2CS[C@H]([C@@H]3C(=O)N[C@H]4CS[C@H]([C@H](C(=O)N[C@H](C(=O)N1)C)NC(=O)[C@@H](NC(=O)[C@@H]5CCCN5C(=O)CNC(=O)[C@@H](NC(=O)[C@H](CNCCCC[C@H](NC(=O)[C@@H]([C@@H](SC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3)CO)C)NC(=O)[C@H](CCC(=O)O)[N+](C)(C)C)C)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@H](C(=O)O)O)[C@@H](C)O)C(=O)O)NC4=O)CO)[C@@H](C)CC)C)C,BXUPAXDHRCWPIU-CIDQOVMCSA-O,BXUPAXDHRCWPIU,divamide B,C79H128N21O29S3+
525,BGC0001732,Streptomyces sp. YN86,1484062,C/C=C(/C(=O)O[C@@H]1[C@H](OC([C@@H]([C@@H]1O[C@@H]2C[C@H]([C@H]([C@H](O2)C)O)OC)O)C3(CC(=O)C(=C(C3=O)C(=O)O)N)O)COC(=O)C)\N=C=S,HYYDZRXDSYTIEH-MQTRCCAJSA-N,HYYDZRXDSYTIEH,paulomycin,C27H34N2O15S
526,BGC0000133,Amycolatopsis orientalis,31958,CC1=CC=CC2(C)C=C(COC3OC(CO)C(O)C(O)C3O)C(C)CC23OC(O)C(C3=O)C(O)C=CC2(C)C=C(C=O)C(C)CC23OC(O)C(C3=O)C(O)C(C)=CC=CC2C=C(COC3OC(CO)C(O)C(O)C3O)C(C)CC23OC(O)C(C3=O)C(O)C=CC2(C)C=C(C=O)C(C)CC23OC(O)C(C3=O)C1O,FLUFBWHKKGTRPN-UHFFFAOYSA-N,FLUFBWHKKGTRPN,quartromicin A1,C77H102O30
527,BGC0000743,Streptococcus agalactiae,1311,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)NC(=O)C)OC[C@@H]4[C@H]([C@@H]([C@H]([C@H](O4)O[C@H]5[C@H](O[C@H]([C@@H]([C@H]5O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@@H]7[C@H](O[C@H]([C@@H]([C@H]7O)O)O)CO)CO)O)O)O)CO)CO)O)O,NOVHANKYCIGDMV-KSYJWRBWSA-N,NOVHANKYCIGDMV,capsular polysaccharide,C49H82N2O39
528,BGC0000654,Streptomyces sp. Tu6071,355249,[H][C@]12CC[C@@]3(C)[C@H](C4=C(O)C(=O)OC4O)C(C)=CC[C@@]3([H])[C@]1(C)[C@@H](O)C[C@@H](OC(C)=O)C2(CO[C@H]1CC[C@@H](OC)[C@H](C)O1)COC(=O)C1=CC=C(C)N1,LULQRLKBANNSOX-AFCHNXSNSA-N,LULQRLKBANNSOX,phenalinolactone A,C38H53NO12
529,BGC0001220,Aspergillus japonicus,34381,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H]([C@H](CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](C)O)C)O)O)O,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,YKPHLXGEPNYRPY,aculeacin A,C50H81N7O16
530,BGC0001387,Streptomyces calvus,67282,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@](F)(COS(N)(=O)=O)[C@@H](O)[C@H]1O,LTBCQBSAWAZBDF-MLTZYSBQSA-N,LTBCQBSAWAZBDF,nucleocidin,C10H13FN6O6S
531,BGC0001345,Stigmatella aurantiaca Sg a15,675526,OC[C@H](CCCCNC(=O)C1=CC=CC(O)=C1O)NC(=O)C1=CC=CC(O)=C1O,WNBVGSNESTZACV-LBPRGKRZSA-N,WNBVGSNESTZACV,myxochelin A,C20H24N2O7
532,BGC0001345,Stigmatella aurantiaca Sg a15,675526,C1=CC(=C(C(=C1)O)O)C(=O)NCCCC[C@@H](CN)NC(=O)C2=C(C(=CC=C2)O)O,QTARRKFUMCSVOF-LBPRGKRZSA-N,QTARRKFUMCSVOF,myxochelin B,C20H25N3O6
533,BGC0000821,Lechevalieria aerocolonigenes,68170,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)N1C2=C3NC4=C(C=CC=C4Cl)C3=C3C(=O)NC(=O)C3=C2C2=CC=CC(Cl)=C12,QEHOIJJIZXRMAN-QZQSLCQPSA-N,QEHOIJJIZXRMAN,rebeccamycin,C27H21Cl2N3O7
534,BGC0000893,Streptomyces venezuelae ATCC 10712,953739,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O,WIIZWVCIJKGZOK-UHFFFAOYSA-N,WIIZWVCIJKGZOK,chloramphenicol,C11H12Cl2N2O5
535,BGC0000052,Streptomyces aizunensis,255848,C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN,NLVFTSADLUSKGV-PJVYZREHSA-N,NLVFTSADLUSKGV,ECO-02301,C70H108N2O20
536,BGC0000223,uncultured bacterium BAC AB649/1850,1037453,C[C@@]1(O)CC(=O)C2=C3C(=O)C4=C(C(O)=CC=C4)C(=O)C3=C(O)C=C2C1,JJOLHRYZQSDLSA-IBGZPJMESA-N,JJOLHRYZQSDLSA,rabelomycin,C19H14O6
537,BGC0000223,uncultured bacterium BAC AB649/1850,1037453,CC1=CC(=C2C(=C1)C=C(C3=C2C(=O)C4=C(C3=O)C(=CC=C4)O)O)O,PQVIKROZFPIERS-UHFFFAOYSA-N,PQVIKROZFPIERS,dehydrorabelomycin,C19H12O5
538,BGC0000223,uncultured bacterium BAC AB649/1850,1037453,[H][C@@]12O[C@]1(C)C(=O)C1=CC(O)=C3C4=C(C=CC=C4O)C(=O)C3=C1[C@H]2OC,CDBWDMSUWPFBMG-NZSAHSFTSA-N,CDBWDMSUWPFBMG,fluostatin F,C19H14O6
539,BGC0000223,uncultured bacterium BAC AB649/1850,1037453,C[C@@]12[C@H]([C@H](OC(C(CCC)C)=O)C3=C4C(C5=C(C=CC=C5O)C4=O)=C(O)C=C3C2=O)O1,UECRBQDJIASDQW-ZQJMGUKMSA-N,UECRBQDJIASDQW,fluostatin G,C24H22O7
540,BGC0000223,uncultured bacterium BAC AB649/1850,1037453,C[C@@]12[C@H]([C@H](OC(C(CCC)C)=O)C3=C4C(C5=C(C=CC=C5O)C4=O)=C(O)C=C3C2=O)O1,UECRBQDJIASDQW-ZQJMGUKMSA-N,UECRBQDJIASDQW,fluostatin H,C24H22O7
541,BGC0001543,Hahella chejuensis,158327,C[C@@H]1[C@@H](NC(C)=O)\C=C(/C)\C=C\[C@H](O)C\C=C(/C)\C=C\[C@@H](O)C\C=C(C)\C1=O,UTURGGMCWRWPTG-YOFHZKFDSA-N,UTURGGMCWRWPTG,chejuenolide A,C23H33NO4
542,BGC0001543,Hahella chejuensis,158327,C[C@H]1[C@@H](NC(C)=O)\C=C(/C)\C=C\[C@H](O)C\C=C(/C)\C=C\[C@@H](O)C\C=C(C)\C1=O,UTURGGMCWRWPTG-PFBVZISFSA-N,UTURGGMCWRWPTG,chejuenolide B,C23H33NO4
543,BGC0000313,Beauveria bassiana,176275,CC(C)C1OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C1=O)C(C)C)C(C)C,GYSCAQFHASJXRS-UHFFFAOYSA-N,GYSCAQFHASJXRS,beauvericin,C45H57N3O9
544,BGC0001462,Amycolatopsis coloradensis,76021,C[C@H]1[C@@H]([C@@H](C[C@@H](O1)O[C@H]2[C@H]3C(=O)N[C@@H](C4=CC(=CC(=C4C5=C(C=CC(=C5)[C@H](C(=O)N3)NC(=O)[C@H]6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)O[C@H]9C([C@H]([C@@H]([C@H](O9)CO)O)O)O[C@H]1C[C@H]([C@H]([C@@H](O1)C)O)N)OC1=CC=C(C=C1)[C@H]([C@H](C(=O)N[C@H](C(=O)N6)C1=CC=C(C=C1)O)NC(=O)[C@@H](C1=CC=C(C=C1)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)NC)O)O)O)O)C(=O)O)N)O,OTKPPUXRIADSGD-PPRNARJGSA-N,OTKPPUXRIADSGD,avoparcin,C83H92ClN9O31
545,BGC0001421,Myxococcus sp.,1929279,C(=C/C=C/C=C/C=C/C=C/C=C/C)\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC([C@@H](NC(=O)[C@@H](NC([C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC1=O)=O)C)CCC(=O)N)=O,KYZNRVQAIZUYOL-XUXGPXDNSA-N,KYZNRVQAIZUYOL,myxochromide B,C49H72N8O10
546,BGC0001302,Streptomyces lomondensis,68229,COC(=O)C1=C2C(=C(C=C1)O)NC3=C(C(=CC(=O)C3=N2)O)C=O,IIWPVOMPFBBVBL-UHFFFAOYSA-N,IIWPVOMPFBBVBL,lomofungin,C15H10N2O6
547,BGC0000199,uncultured bacterium,77133,CO[C@H]1[C@H](O[C@H]2C[C@H](O)[C@@H](O)[C@H](C)O2)C2=C(C=C3C(=O)C4=C(C(O)=CC(OC)=C4)C(=O)C3=C2O)C(=O)[C@@]1(C)O,IOBWMUZXCVXZEC-NFPJALKISA-N,IOBWMUZXCVXZEC,arimetamycin B,C27H28O12
548,BGC0000199,uncultured bacterium,77133,CO[C@H]1[C@@H](C2=C(C([C@]1(O)C)=O)C=C3C(C4=C(C(C3=C2O)=O)C(O)=CC(OC)=C4)=O)O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O)OC,SAOHATURIARFGY-AXKHOAHLSA-N,SAOHATURIARFGY,arimetamycin C,C28H30O12
549,BGC0000199,uncultured bacterium,77133,CO[C@H]1[C@H](O[C@H]2C[C@@](C)([C@H](O[C@H]3C[C@](C)(O)[C@@H]([C@H](C)O3)N(C)C)[C@H](C)O2)N(C)C)C2=C(C=C3C(=O)C4=C(C(O)=CC(OC)=C4)C(=O)C3=C2O)C(=O)[C@@]1(C)O,ORGPJBCXHIHCRV-YYNSTCJCSA-N,ORGPJBCXHIHCRV,arimetamycin A,C39H52N2O13
550,BGC0001578,Talaromyces stipitatus ATCC 10500,441959,COC12C3C(OC(C)=O)C4(COC(=O)C5=C(O)C=C(C)C(C3=O)=C45)C1C(=O)C1=COC(=O)C3=C1C2=C(C)C=C3O,WBQDAYWQELBEPU-UHFFFAOYSA-N,WBQDAYWQELBEPU,duclauxin,C29H22O11
551,BGC0001375,Penicillium simplicissimum,69488,CC(=C)[C@@H]1[C@@H]([C@@H]2[C@@]3(O2)[C@@H](O1)CC[C@]4([C@]3(CC[C@@H]5[C@@]4(C6=C7[C@H]5OC([C@H]8C[C@H]9[C@@]8(C1=C7C(=CC(=C1CC9=C)Cl)N6)O)(C)C)C)O)C)O,JDUWHZOLEDOQSR-JKPSMKLGSA-N,JDUWHZOLEDOQSR,penitrem A,C37H44ClNO6
552,BGC0001375,Penicillium simplicissimum,69488,[H][C@]12C[C@@]3([H])[C@@]1([H])C1=C(CC2=C)C=CC2=C1C1=C(N2)[C@@]2(C)[C@@]([H])(CC[C@@]4(O)[C@@]56O[C@@H]5[C@@H](O)[C@H](O[C@@]6([H])CC[C@]24C)C(C)=C)[C@]1([H])OC3(C)C,CRPJNVUYZRFGAK-WKAGVDCZSA-N,CRPJNVUYZRFGAK,penitrem B,C37H45NO5
553,BGC0001375,Penicillium simplicissimum,69488,CC(=C)C1OC2CCC3(C)C4(C)C(CCC3(O)C2=CC1O)C1OC(C)(C)C2CC3C2C2=C(CC3=C)C(Cl)=CC3=C2C1=C4N3,BVVRIERIEDMORG-UHFFFAOYSA-N,BVVRIERIEDMORG,penitrem C,C37H44ClNO4
554,BGC0001375,Penicillium simplicissimum,69488,[H][C@]12C[C@@]3([H])[C@@]1([H])C1=C4C(NC5=C4[C@@]([H])(OC3(C)C)[C@]3([H])CC[C@@]4(O)C6=C[C@@H](O)[C@H](O[C@@]6([H])CC[C@]4(C)[C@@]53C)C(C)=C)=CC=C1CC2=C,XOASTWITKYDKAJ-PPQPEBMASA-N,XOASTWITKYDKAJ,penitrem D,C37H45NO4
555,BGC0001375,Penicillium simplicissimum,69488,[H][C@]12C[C@@]3([H])[C@@]1(O)C1=C(CC2=C)C=CC2=C1C1=C(N2)[C@@]2(C)[C@@]([H])(CC[C@@]4(O)[C@@]56O[C@@H]5[C@@H](O)[C@H](O[C@@]6([H])CC[C@]24C)C(C)=C)[C@]1([H])OC3(C)C,LTCFBVUSILPMGG-BRSLXYMHSA-N,LTCFBVUSILPMGG,penitrem E,C37H45NO6
556,BGC0001375,Penicillium simplicissimum,69488,[H][C@]12C[C@@]3([H])[C@@]1([H])C1=C(CC2=C)C(Cl)=CC2=C1C1=C(N2)[C@@]2(C)[C@@]([H])(CC[C@@]4(O)[C@@]56O[C@@H]5[C@@H](O)[C@H](O[C@@]6([H])CC[C@]24C)C(C)=C)[C@]1([H])OC3(C)C,YWORPEZTBDVGCS-JCMMWUKFSA-N,YWORPEZTBDVGCS,penitrem F,C37H44ClNO5
557,BGC0001621,Aspergillus flavus NRRL3357,332952,COC1=C(O)C=C2C[C@H](N(CC2=C1O)C(=O)[C@@H](N)CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(CO)CO)C(O)=O,ODKDMMTXTVCCLJ-BVSLBCMMSA-N,ODKDMMTXTVCCLJ,TMC-2A,C28H34N4O9
558,BGC0001621,Aspergillus flavus NRRL3357,332952,COC1=C(O)C=C2C[C@H](N(CC2=C1O)C(=O)[C@@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)CO)C(O)=O,WVYIXBYYAHYOIW-KQNCPTOESA-N,WVYIXBYYAHYOIW,TMC-2B,C28H34N4O8
559,BGC0001172,Streptomyces sp. CNH-287,1247109,OC1=CC2=C(C(=O)N3C(Cl)=C(Cl)C=C23)C(O)=C1[C@@H]1CCC2=CC(Cl)=C(Cl)N12,PNWJMZXCEYWQFJ-JTQLQIEISA-N,PNWJMZXCEYWQFJ,chlorizidine A,C18H10Cl4N2O3
560,BGC0000752,Actinobacillus pleuropneumoniae serovar 6 str. Femo,754256,CCCO[C@@H]1C([C@]([C@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)(O)OP(=O)(O)O)(O)O,FJTWZGAJWZJDEU-SRTYELMFSA-N,FJTWZGAJWZJDEU,capsular polysaccharide,C15H29O16P
561,BGC0000709,Streptomyces fradiae ATCC 10745 = DSM 40063,1319510,NC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,PGBHMTALBVVCIT-VZXHOKRSSA-N,PGBHMTALBVVCIT,neomycin,C23H46N6O13
562,BGC0001275,Glarea lozoyensis,101852,CC1=C(C(=CC=C1)O)C(=O)O,HCJMNOSIAGSZBM-UHFFFAOYSA-N,HCJMNOSIAGSZBM,6-methylsalicyclic acid,C8H8O3
563,BGC0001002,Streptomyces roseoverticillatus,66429,C[C@@H]1C[C@H]1/C=C\[C@H]2C[C@@H]2[C@@H]3C[C@H]3[C@H]4C[C@H]4[C@@H]5C[C@@H]5/C=C/C=C/C(=O)NC[C@H]6[C@@H]([C@H]([C@@H](O6)N7CCC(=O)NC7=O)O)O,QOOORVUXEUQEKV-AULIEQARSA-N,QOOORVUXEUQEKV,jawsamycin,C32H43N3O6
564,BGC0001409,Streptomyces minoensis,67329,CCC[C@@H](C)\C=C(\C)C(=O)OC1C(C)OC(CC1(C)O)OC1CCC(O[C@@H]2C(O)=C(C(C)=O)C(=O)[C@@]3(O)C(=O)C4=C(O)C5=C(C(C)=C4C[C@@]23O)C(=O)C(OC)=CC5=O)OC1C,XLXKPBAXLAAHEN-GUTUYZQOSA-N,XLXKPBAXLAAHEN,dutomycin,C44H54O17
565,BGC0000853,Streptomyces anulatus,1892,CC1=NCC[C@H](N1)C(=O)O,WQXNXVUDBPYKBA-YFKPBYRVSA-N,WQXNXVUDBPYKBA,ectoine,C6H10N2O2
566,BGC0001390,Stachybotrys bisbyi,80385,CC1=CC(=C(C(=C1C=O)O)C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O,QAPOXOGEDXIOHD-VZRGJMDUSA-N,QAPOXOGEDXIOHD,LL-Z1272beta,C23H32O3
567,BGC0001325,Papaver somniferum,3469,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,AKNNEGZIBPJZJG-MSOLQXFVSA-N,AKNNEGZIBPJZJG,noscapine,C22H23NO7
568,BGC0000051,Kitasatospora aburaviensis,67265,CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O,WOISDAHQBUYEAF-QIQXJRRPSA-N,WOISDAHQBUYEAF,ebelactone A,C20H34O4
569,BGC0000051,Kitasatospora aburaviensis,67265,CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C,UNBMQQNYLCPCHS-VYNDPHDASA-N,UNBMQQNYLCPCHS,ebelactone B,C21H36O4
570,BGC0000204,Streptomyces sp. A2991200,431672,CCCCCC1=C(C(O)=O)C(O)=C2C(C=CC3=C2C=C2C(=C3O)C(=O)C3=C(O)C=C(O)C=C3C2(C)C)=C1,LKGKHTANQJZVPR-UHFFFAOYSA-N,LKGKHTANQJZVPR,benastatin A,C30H28O7
571,BGC0000204,Streptomyces sp. A2991200,431672,CCCCCC1=C(C(O)=O)C(O)=C2C(CCC3=C(O)C4=C(C=C23)C(C)(C)C2=CC(O)=CC(O)=C2C4=O)=C1,FUKMCLKFEWEFSC-UHFFFAOYSA-N,FUKMCLKFEWEFSC,benastatin B,C30H30O7
572,BGC0000204,Streptomyces sp. A2991200,431672,OC1=C(C(C(C(O)=C(C=CC2=C3C(O)=C(C(O)=O)C(CCCCC)=C2)C3=C4)=C4C5(C)O)=O)C5=CC(O)=C1,HJLKBBUYCJLBEN-UHFFFAOYSA-N,HJLKBBUYCJLBEN,BE-43767,C29H26O8
573,BGC0000204,Streptomyces sp. A2991200,431672,OC1=C(C(C(C(O)=C(CCC2=C3C(O)=C(C(O)=O)C(CCCCC)=C2)C3=C4)=C4C5(C)O)=O)C5=CC(O)=C1,OCYKQSWCTYURKE-UHFFFAOYSA-N,OCYKQSWCTYURKE,TAN1532B,C29H28O8
